customerID,gender,Usia >65 Tahun (SeniorCitizen),Memiliki Pasangan (Partner),Memiliki Tanggungan (Dependents),Lama Berlangganan (tenure),Layanan Telepon (PhoneService),Memiliki Beberapan Layanan Telepon (MultipleLines),Jenis Layanan Internet (InternetService),Memiliki Keamanan Online (OnlineSecurity), Memiliki Backup Online (OnlineBackup),Memiliki Perlindungan Perangkat (DeviceProtection),Memiliki Dukungan Teknis (TechSupport),Layanan Streaming TV (StreamingTV), Layanan Streaming Film (StreamingMovies),Jenis Kontrak Pelanggan (Contract),Tagihan Paperless (PaperlessBilling),Metode Pembayaran (PaymentMethod),Jumlah Tagihan per Bulan (MonthlyCharges),Total Tagihan Selama Menjadi Pelanggan (TotalCharges),Churn
IDA043BA,Male,1,Yes,Yes,0,No,No,No,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),119.74,7580.49,Yes
IDE16038,Female,1,Yes,No,50,No,Yes,No,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.76,3340.31,No
ID03A839,Male,1,Yes,Yes,4,No,No,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),97.64,2754.54,No
IDC0CB52,Male,1,No,No,12,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,59.69,3584.84,No
IDF511D9,Male,0,Yes,Yes,18,No,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),110.7,1748.43,No
IDCB8F68,Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,No,Electronic check,74.55,819.77,Yes
IDD9D9B0,Male,1,No,No,47,Yes,Yes,No,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.09,1205.66,Yes
ID341314,Male,0,Yes,Yes,24,No,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),29.48,1349.91,Yes
IDA5534E,Male,1,Yes,No,56,No,Yes,No,No internet service,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),83.17,1597.43,Yes
IDA92B26,Female,0,No,Yes,34,No,No phone service,No,No,No,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),107.91,3371.28,No
IDFA8ADC,Male,1,No,Yes,4,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,One year,No,Mailed check,37.83,4998.72,No
ID30543F,Male,1,Yes,Yes,21,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),93.77,5038.52,No
